id,fund_name,amc_name,created_at,updated_at,fund_code,goal_name,fund_type,folio_number,member_id,nav_at,nav
1,PPFAS Flexi Cap,PPFAS,2023-03-17 17:07:28.932460,2023-03-18 08:33:54.516698,122639,Retirement,Equity,11293083,2,2023-03-17,52.8102
2,DSP Value ,DSP,2023-03-17 17:09:53.115371,2023-03-18 08:33:54.660829,148595,Retirement,Equity,,1,2023-03-17,13.249
3,Low Volatility Index,UTI,2023-03-17 17:12:29.342128,2023-03-18 08:33:54.813368,149881,Retirement,Equity,,4,2023-03-17,10.7355
4,Quality Midcap 50 Index,UTI,2023-03-17 17:13:51.086800,2023-03-18 08:33:54.917373,150313,Retirement,Equity,,4,2023-03-17,9.0063
5,PPFAS Flexi Cap,PPFAS,2023-03-17 17:14:50.539296,2023-03-18 08:33:54.519226,122639,Retirement,Equity,,5,2023-03-17,52.8102
6,Low Volatility Index,UTI,2023-03-17 17:16:19.346985,2023-03-18 08:33:54.816159,149881,Retirement,Equity,,5,2023-03-17,10.7355
7,Quality Midcap 50 Index,UTI,2023-03-17 17:16:57.931687,2023-03-18 08:33:54.920597,150313,Retirement,Equity,,5,2023-03-17,9.0063
8,Nifty Fifty Index,UTI,2023-03-17 17:18:44.869286,2023-03-18 08:33:55.234012,120716,Retirement,Equity,,5,2023-03-17,116.2313
9,Nifty Next Fifty Index,UTI,2023-03-17 17:19:29.161350,2023-03-18 08:33:55.383519,143341,Retirement,Equity,,5,2023-03-17,13.8134
10,Nifty Fifty Index,UTI,2023-03-17 17:20:39.815831,2023-03-18 08:33:55.236026,120716,Retirement,Equity,,4,2023-03-17,116.2313
11,Nifty Next Fifty Index,UTI,2023-03-17 17:21:17.596407,2023-03-18 08:33:55.387612,143341,Retirement,Equity,,4,2023-03-17,13.8134
12,PGIM Flexi Cap,PGIM,2023-03-17 17:22:03.751515,2023-03-18 08:33:55.624151,133839,Retirement,Equity,,5,2023-03-17,27.37
